Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,Case13 Spectral Count,Case3 Spectral Count,Case9 Spectral Count,Case12 Spectral Count,Case6 Spectral Count,Case8 Spectral Count,Case11 Spectral Count,Case16 Spectral Count,Case19 Spectral Count,Case15 Spectral Count,Case18 Spectral Count,Case7 Spectral Count,Case20 Spectral Count,Case10 Spectral Count,Case14 Spectral Count,Case4 Spectral Count,Case1 Spectral Count,Case17 Spectral Count,Case5 Spectral Count,Case2 Spectral Count,Control15 Spectral Count,Control1 Spectral Count,Control18 Spectral Count,Control3 Spectral Count,Control10 Spectral Count,Control11 Spectral Count,Control13 Spectral Count,Control17 Spectral Count,Control5 Spectral Count,Control16 Spectral Count,Control14 Spectral Count,Control6 Spectral Count,Control9 Spectral Count,Control20 Spectral Count,Control2 Spectral Count,Control7 Spectral Count,Control8 Spectral Count,Control19 Spectral Count,Control4 Spectral Count,Control12 Spectral Count,Case13 Unique Spectral Count,Case3 Unique Spectral Count,Case9 Unique Spectral Count,Case12 Unique Spectral Count,Case6 Unique Spectral Count,Case8 Unique Spectral Count,Case11 Unique Spectral Count,Case16 Unique Spectral Count,Case19 Unique Spectral Count,Case15 Unique Spectral Count,Case18 Unique Spectral Count,Case7 Unique Spectral Count,Case20 Unique Spectral Count,Case10 Unique Spectral Count,Case14 Unique Spectral Count,Case4 Unique Spectral Count,Case1 Unique Spectral Count,Case17 Unique Spectral Count,Case5 Unique Spectral Count,Case2 Unique Spectral Count,Control15 Unique Spectral Count,Control1 Unique Spectral Count,Control18 Unique Spectral Count,Control3 Unique Spectral Count,Control10 Unique Spectral Count,Control11 Unique Spectral Count,Control13 Unique Spectral Count,Control17 Unique Spectral Count,Control5 Unique Spectral Count,Control16 Unique Spectral Count,Control14 Unique Spectral Count,Control6 Unique Spectral Count,Control9 Unique Spectral Count,Control20 Unique Spectral Count,Control2 Unique Spectral Count,Control7 Unique Spectral Count,Control8 Unique Spectral Count,Control19 Unique Spectral Count,Control4 Unique Spectral Count,Control12 Unique Spectral Count,Case13 Total Spectral Count,Case3 Total Spectral Count,Case9 Total Spectral Count,Case12 Total Spectral Count,Case6 Total Spectral Count,Case8 Total Spectral Count,Case11 Total Spectral Count,Case16 Total Spectral Count,Case19 Total Spectral Count,Case15 Total Spectral Count,Case18 Total Spectral Count,Case7 Total Spectral Count,Case20 Total Spectral Count,Case10 Total Spectral Count,Case14 Total Spectral Count,Case4 Total Spectral Count,Case1 Total Spectral Count,Case17 Total Spectral Count,Case5 Total Spectral Count,Case2 Total Spectral Count,Control15 Total Spectral Count,Control1 Total Spectral Count,Control18 Total Spectral Count,Control3 Total Spectral Count,Control10 Total Spectral Count,Control11 Total Spectral Count,Control13 Total Spectral Count,Control17 Total Spectral Count,Control5 Total Spectral Count,Control16 Total Spectral Count,Control14 Total Spectral Count,Control6 Total Spectral Count,Control9 Total Spectral Count,Control20 Total Spectral Count,Control2 Total Spectral Count,Control7 Total Spectral Count,Control8 Total Spectral Count,Control19 Total Spectral Count,Control4 Total Spectral Count,Control12 Total Spectral Count,Case13 Intensity,Case3 Intensity,Case9 Intensity,Case12 Intensity,Case6 Intensity,Case8 Intensity,Case11 Intensity,Case16 Intensity,Case19 Intensity,Case15 Intensity,Case18 Intensity,Case7 Intensity,Case20 Intensity,Case10 Intensity,Case14 Intensity,Case4 Intensity,Case1 Intensity,Case17 Intensity,Case5 Intensity,Case2 Intensity,Control15 Intensity,Control1 Intensity,Control18 Intensity,Control3 Intensity,Control10 Intensity,Control11 Intensity,Control13 Intensity,Control17 Intensity,Control5 Intensity,Control16 Intensity,Control14 Intensity,Control6 Intensity,Control9 Intensity,Control20 Intensity,Control2 Intensity,Control7 Intensity,Control8 Intensity,Control19 Intensity,Control4 Intensity,Control12 Intensity,Case13 MaxLFQ Intensity,Case3 MaxLFQ Intensity,Case9 MaxLFQ Intensity,Case12 MaxLFQ Intensity,Case6 MaxLFQ Intensity,Case8 MaxLFQ Intensity,Case11 MaxLFQ Intensity,Case16 MaxLFQ Intensity,Case19 MaxLFQ Intensity,Case15 MaxLFQ Intensity,Case18 MaxLFQ Intensity,Case7 MaxLFQ Intensity,Case20 MaxLFQ Intensity,Case10 MaxLFQ Intensity,Case14 MaxLFQ Intensity,Case4 MaxLFQ Intensity,Case1 MaxLFQ Intensity,Case17 MaxLFQ Intensity,Case5 MaxLFQ Intensity,Case2 MaxLFQ Intensity,Control15 MaxLFQ Intensity,Control1 MaxLFQ Intensity,Control18 MaxLFQ Intensity,Control3 MaxLFQ Intensity,Control10 MaxLFQ Intensity,Control11 MaxLFQ Intensity,Control13 MaxLFQ Intensity,Control17 MaxLFQ Intensity,Control5 MaxLFQ Intensity,Control16 MaxLFQ Intensity,Control14 MaxLFQ Intensity,Control6 MaxLFQ Intensity,Control9 MaxLFQ Intensity,Control20 MaxLFQ Intensity,Control2 MaxLFQ Intensity,Control7 MaxLFQ Intensity,Control8 MaxLFQ Intensity,Control19 MaxLFQ Intensity,Control4 MaxLFQ Intensity,Control12 MaxLFQ Intensity
sp|P35611|ADDA_HUMAN,P35611,ADDA_HUMAN,ADD1,737,Homo sapiens,1:Experimental evidence at protein level,Alpha-adducin,1,0.999,8,11,10,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121550.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357002.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75764.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109506.055
sp|P35613|BASI_HUMAN,P35613,BASI_HUMAN,BSG,385,Homo sapiens,1:Experimental evidence at protein level,Basigin,1,0.999,8,489,489,489,11,10,11,19,2,9,16,17,14,15,20,12,9,10,4,9,5,13,9,5,15,17,13,15,20,14,11,10,19,14,11,8,24,11,15,4,6,17,18,7,11,10,11,19,2,9,16,17,14,15,20,12,9,10,4,9,5,13,9,5,15,17,13,15,20,14,11,10,19,14,11,8,24,11,15,4,6,17,18,7,11,10,11,19,2,9,16,17,14,15,20,12,9,10,4,9,5,13,9,5,15,17,13,15,20,14,11,10,19,14,11,8,24,11,15,4,6,17,18,7,465193.66,1015987.9,1132116.4,1291898.6,164530.83,1136770.9,952392,785162.6,899691.56,883670.4,984525.1,851157.1,447392.1,654675.9,326311.5,1067898.8,235116.7,432313.56,776207.2,379890.2,732890.4,590735.56,400168.4,1496012.9,1133566.4,850064.3,859013.8,508565.03,821171.2,405917.4,1044488.75,708472.9,1122832.2,1086698.1,1221265.9,359499.06,324093.38,1422263.8,644081.44,573912.56,212852.27,300049.75,410474.94,415574.6,201720.31,337907.47,318791.06,292330.2,292424.97,236147.36,302789.6,334582.62,229326.95,239902.5,259223.86,347814.5,158537.81,226969.4,302490.25,262072.3,182279.66,209094.8,152200.39,384694.1,305915.75,274154.4,268793.6,201132.67,264915.06,198767.64,356734.94,222932.77,338817.84,334020.06,344848.6,180635.11,152400.64,404239.22,211177.47,183618.81
sp|P35637|FUS_HUMAN,P35637,FUS_HUMAN,FUS,526,Homo sapiens,1:Experimental evidence at protein level,RNA-binding protein FUS,0.9944,0.999,3,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P35659|DEK_HUMAN,P35659,DEK_HUMAN,DEK,375,Homo sapiens,1:Experimental evidence at protein level,Protein DEK,0.9991,0.999,2,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75156.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294105.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75156.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173745.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P35754|GLRX1_HUMAN,P35754,GLRX1_HUMAN,GLRX,106,Homo sapiens,1:Experimental evidence at protein level,Glutaredoxin-1,1,0.999,5,55,55,55,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,5,12,0,0,0,7,0,0,0,0,0,0,0,2,4,1,3,0,4,2,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,5,12,0,0,0,7,0,0,0,0,0,0,0,2,4,1,3,0,4,2,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,5,12,0,0,0,7,0,0,0,0,0,0,0,2,4,1,3,0,4,2,0,0,0,190871.16,0,118935.97,0,97144.39,0,0,144112.48,0,171852.17,0,0,0,0,274166.2,0,0,162814.47,725765.9,0,0,0,338583.7,28269.887,16869.713,33373.816,0,0,0,0,72397.06,193903.25,126944.586,128975.35,0,73459.22,71825.51,0,0,0,109679.31,0,64757.582,0,55766.95,0,0,82843.3,0,97184.2,0,0,0,0,124712.93,0,0,60203.895,173454.7,0,0,0,94454.98,29253.54,17456.695,34535.06,0,0,0,0,40778.2,111689.24,73108.53,72396.88,0,41878.14,93116.95,0,0
sp|P35813|PPM1A_HUMAN,P35813,PPM1A_HUMAN,PPM1A,382,Homo sapiens,1:Experimental evidence at protein level,Protein phosphatase 1A,1,0.999,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67306.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P35858|ALS_HUMAN,P35858,ALS_HUMAN,IGFALS,605,Homo sapiens,1:Experimental evidence at protein level,Insulin-like growth factor-binding protein complex acid labile subunit,1,0.999,15,128,128,128,1,0,2,2,1,0,1,1,0,14,4,0,7,3,0,3,5,3,8,0,2,9,10,0,3,2,4,1,23,1,13,1,0,0,1,3,0,0,0,0,1,0,2,2,1,0,1,1,0,14,4,0,7,3,0,3,5,3,8,0,2,9,10,0,3,2,4,1,23,1,13,1,0,0,1,3,0,0,0,0,1,0,2,2,1,0,1,1,0,14,4,0,7,3,0,3,5,3,8,0,2,9,10,0,3,2,4,1,23,1,13,1,0,0,1,3,0,0,0,0,50335.74,0,58415.41,209909.14,66739.32,171157,90409.84,153574.02,92176.92,458812.53,48116.145,0,299561.75,189562.03,0,112190.25,220520.31,127781.58,277605.53,0,107431.14,428022.3,578122.25,0,149022.98,127097.85,194203.67,187973.44,768707.8,171327.25,643999.94,65592.914,0,74761.67,52937.547,163761.38,687293.4,48434.805,0,0,47828.652,0,55505.9,92048.5,63415.215,46803.145,53231.73,58639.117,44024.99,86169.62,67964.7,0,98921.93,55653.46,0,80609.664,126383.67,69359.01,87786.734,0,80054.24,96837.625,124723.85,0,65155.137,37571.812,57979.035,99348.04,92363.555,61332.88,87581.36,92650.875,0,76041.87,74775,95735.79,653061.2,46022.4,0,0
sp|P35900|K1C20_HUMAN,P35900,K1C20_HUMAN,KRT20,424,Homo sapiens,1:Experimental evidence at protein level,"Keratin, type I cytoskeletal 20",1,0.999,15,22,21,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,28,1,12,7,2,6,6,12,7,15,5,5,4,11,29,8,3,6,5,3,4,6,2,2,6,7,11,4,3,5,18,3,9,10,4,4,7,4,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692093.1,87855.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213077.22,36236.29
sp|P35908|K22E_HUMAN,P35908,K22E_HUMAN,KRT2,639,Homo sapiens,1:Experimental evidence at protein level,"Keratin, type II cytoskeletal 2 epidermal",1,0.999,65,9811,8024,11449,994,92,479,480,281,226,330,322,155,486,195,159,177,134,604,99,162,179,191,110,141,195,140,76,236,206,193,172,170,183,161,166,476,124,161,225,227,260,328,116,836,72,404,392,234,187,275,263,124,421,160,123,144,100,509,70,139,144,158,92,117,161,103,60,194,171,145,131,137,147,118,134,402,95,128,182,177,202,280,93,1130,118,539,542,324,265,386,370,182,549,226,203,209,167,685,118,195,216,224,130,160,238,174,93,255,250,225,208,200,214,224,188,538,158,185,280,265,302,373,141,2.97E+08,9306007,1.26E+08,1.03E+08,3.70E+07,2.83E+07,8.03E+07,4.09E+07,2.33E+07,4.62E+07,1.35E+07,3.28E+07,3.07E+07,1.73E+07,1.55E+08,8268266.5,1.66E+07,1.76E+07,1.38E+07,1.69E+07,1.13E+07,3.11E+07,3.06E+07,4884608,1.64E+07,2.75E+07,2.49E+07,4.68E+07,1.59E+07,2.53E+07,1.64E+07,1.91E+07,6.20E+07,1.43E+07,1.51E+07,3.93E+07,3.67E+07,3.19E+07,2.84E+07,1.37E+07,2.47E+07,861748.4,1.04E+07,8281651,3239782,2323979.8,6010655.5,3254933.2,1878810,4135096,1282965.6,2566318,2732038,1446840,1.31E+07,860958.94,1887424.5,1644501.5,1414719,1587245,1076851.9,2568613.8,2489273.8,504680.3,1591152.1,2365992.2,2116293.8,3950968,1337649,1787194.6,1287861.8,1719236,5316844,1238310.1,1299414.8,3198617.8,3057629.8,2756710,2276687.5,1249747
sp|P35916|VGFR3_HUMAN,P35916,VGFR3_HUMAN,FLT4,1363,Homo sapiens,1:Experimental evidence at protein level,Vascular endothelial growth factor receptor 3,0.9999,0.999,4,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173485.12,0,0,0,37173.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P35968|VGFR2_HUMAN,P35968,VGFR2_HUMAN,KDR,1356,Homo sapiens,1:Experimental evidence at protein level,Vascular endothelial growth factor receptor 2,0.9885,0.999,2,2,2,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,51046.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P35998|PRS7_HUMAN,P35998,PRS7_HUMAN,PSMC2,433,Homo sapiens,1:Experimental evidence at protein level,26S proteasome regulatory subunit 7,1,0.999,16,21,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598473.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P36222|CH3L1_HUMAN,P36222,CH3L1_HUMAN,CHI3L1,383,Homo sapiens,1:Experimental evidence at protein level,Chitinase-3-like protein 1,1,0.999,15,69,69,69,0,0,0,1,4,0,0,0,0,1,0,0,0,0,4,6,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,4,6,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,4,6,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54574.613,162115.97,0,0,0,0,27316.803,0,0,0,0,186110,242916.97,0,0,35474.516,5042400.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46914.87,115357.84,0,0,0,0,35221.883,0,0,0,0,99973.83,112173.64,0,0,47024.27,653276.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P36405|ARL3_HUMAN,P36405,ARL3_HUMAN,ARL3,182,Homo sapiens,1:Experimental evidence at protein level,ADP-ribosylation factor-like protein 3,1,0.999,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26568.805,0,0,0,36447.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100090.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33301.332,0,0,0,33803.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36357.535
sp|P36542|ATPG_HUMAN,P36542,ATPG_HUMAN,ATP5F1C,298,Homo sapiens,1:Experimental evidence at protein level,"ATP synthase subunit gamma, mitochondrial",1,0.999,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102087.2,0,0,0,0,0,20473.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P36543|VATE1_HUMAN,P36543,VATE1_HUMAN,ATP6V1E1,226,Homo sapiens,1:Experimental evidence at protein level,V-type proton ATPase subunit E 1,1,0.999,8,115,88,115,1,0,11,2,0,0,0,0,5,4,2,0,12,6,4,0,0,1,1,1,9,0,0,4,3,3,2,0,3,0,8,0,9,5,3,1,3,0,0,12,0,0,7,1,0,0,0,0,5,2,2,0,8,5,2,0,0,1,1,1,7,0,0,4,3,2,2,0,2,0,5,0,8,4,3,1,2,0,0,10,1,0,11,2,0,0,0,0,5,4,2,0,12,6,4,0,0,1,1,1,9,0,0,4,3,3,2,0,3,0,8,0,9,5,3,1,3,0,0,12,86961.56,0,445450.34,293626.25,0,41884.98,0,56850.516,246711.06,231043.05,58581.703,0,487476.75,358264.78,318483.2,0,0,19245.5,50252.05,43159.508,423089.12,18246.82,68398.49,118820.66,147432.14,230736.81,251934.25,0,119287.98,127087.96,266656.9,45013.31,286035.88,291717.94,94725.29,67346.625,149368.3,0,0,519933.28,116536.18,0,85938.266,71057.234,0,47315.906,0,35514.402,58262.754,67887.69,34875.44,0,98319.64,76042.23,81619.69,0,0,21740.926,56767.87,48755.69,79840.305,20612.754,97112.55,71343.54,41886.85,60103.73,55118.53,0,48385.91,34540.33,67390.28,55350.137,70456.51,71297.32,53660.96,83042.72,60960.496,0,0,111104.87
sp|P36578|RL4_HUMAN,P36578,RL4_HUMAN,RPL4,427,Homo sapiens,1:Experimental evidence at protein level,Large ribosomal subunit protein uL4,1,0.999,11,25,25,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,211606.38,0,0,0,0,0,0,0,0,0,0,0,0,0,30401.666,61479.836,0,0,0,6303.4053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794975.6,0,106804.36,0,0,0,0,0,0,0,0,0,0,0,0,0,79501.91,38453.164,0,0,0,6263.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141981.33
sp|P36639|8ODP_HUMAN,P36639,8ODP_HUMAN,NUDT1,156,Homo sapiens,1:Experimental evidence at protein level,Oxidized purine nucleoside triphosphate hydrolase,1,0.999,6,169,169,169,1,4,1,3,1,5,4,4,3,6,7,7,2,3,3,6,4,4,6,2,9,7,3,8,7,3,5,1,7,4,4,5,3,3,4,2,4,7,6,1,1,4,1,3,1,5,4,4,3,6,7,7,2,3,3,6,4,4,6,2,9,7,3,8,7,3,5,1,7,4,4,5,3,3,4,2,4,7,6,1,1,4,1,3,1,5,4,4,3,6,7,7,2,3,3,6,4,4,6,2,9,7,3,8,7,3,5,1,7,4,4,5,3,3,4,2,4,7,6,1,94670.055,207969.19,200362.14,328970.88,118954.266,244925.6,200587.06,353146.38,415486.12,303624.1,256606.84,250530.44,209095.84,227336.2,221887.1,569787.4,172374.34,63841.19,459697,273044.9,413427.75,212940.78,359570.56,632714.4,387813.44,223160,187344.22,136681.84,99561.39,329253.34,300372.5,233391.95,203075.03,271825.1,249036.52,215084.44,625626.3,370818.56,254972.06,42016.527,104030.5,88713.98,220172.83,157086.7,130715.8,140594.81,116771.52,205268.53,244600.42,123640.234,109329.234,147489.66,229770.08,131803.94,119039.734,178239.77,101225.04,81010.805,251399.39,160473.45,105430.94,123683.914,159883.98,299270.06,131490.39,128959.41,110218.68,150196.19,58571.87,193383.95,138707.67,135648.92,118962.85,125422.7,144376.11,123901.94,364839.97,178917.6,149523.64,46170.887
sp|P36871|PGM1_HUMAN,P36871,PGM1_HUMAN,PGM1,562,Homo sapiens,1:Experimental evidence at protein level,Phosphoglucomutase-1,1,0.999,18,112,112,112,0,0,0,9,1,1,0,1,4,5,1,0,6,2,15,5,0,0,6,4,0,0,0,1,0,5,0,0,0,0,2,1,10,4,0,0,0,0,0,29,0,0,0,9,1,1,0,1,4,5,1,0,6,2,15,5,0,0,6,4,0,0,0,1,0,5,0,0,0,0,2,1,10,4,0,0,0,0,0,29,0,0,0,9,1,1,0,1,4,5,1,0,6,2,15,5,0,0,6,4,0,0,0,1,0,5,0,0,0,0,2,1,10,4,0,0,0,0,0,29,0,0,0,637385.75,59606.562,40660.797,34575.414,62486.797,257210.22,205790.03,0,0,207850.88,191382.75,822761.56,192472.47,0,0,116398.72,286230.4,0,0,0,54387.59,58276.555,177650.12,144773.25,0,20217.693,148623.5,130535.37,91903.64,188524.23,268283.22,0,0,0,0,0,987874.44,0,0,0,113655.305,66894.29,24607.754,51431.547,38948.99,72299.836,68986.81,0,0,97724.96,66247.75,135631.52,79445.3,0,0,65824.19,107115.55,0,0,0,75339.83,36167.484,60328.58,61061.508,0,28602.645,30956.746,62531.613,55442.91,62278.363,75534.72,0,0,0,0,0,177635.53
